"Player","Hands","VPIP","PFR","3Bet PF","2Bet PF & Fold","2Bet PF & Fold OOP","4Bet+ Ratio","RFI (EP)","RFI (MP)","RFI (CO)","RFI (BU)","RFI (SB)","CBet F","CBet T","Fold to F Float","Fold to T Float","CBet F & Fold","RCp XFf OOP","WTSD %","WWSF","WSD","Total AFq"
"ABROVINK","5,584","28.22","21.80","9.90","49.07","48.91","1.49","19.87","25.24","26.97","49.19","49.59","44.15","50.00","62.50","37.50","42.86","62.96","23.43","42.51","60.38","45.28"
"AceUpMySleeve","1,440","22.25","18.26","8.13","33.33","22.22","2.19","19.57","16.39","27.07","51.96","53.33","61.76","42.50","70.00","80.00","62.50","40.00","27.67","36.67","56.63","39.53"
"Alergenic","165,809","19.54","14.67","5.28","55.94","54.48","1.15","14.66","18.47","23.10","32.74","36.83","59.97","47.43","64.79","75.00","55.86","56.27","27.10","41.36","60.40","44.93"
"ALLAMARKER","1,275","29.92","20.82","9.02","46.15","42.86","1.04","26.92","24.08","27.15","65.93","45.10","52.27","45.65","42.86","33.33","100.00","0.00","31.83","45.02","49.49","50.34"
"Allmylove","1,898","23.36","19.66","11.72","36.54","34.78","2.60","19.58","27.71","24.88","41.46","29.73","56.57","54.24","73.68","25.00","20.00","71.43","31.46","43.99","49.59","51.34"
"Amanda98","2,680","27.32","22.75","9.57","43.28","46.43","1.75","20.16","28.61","28.40","44.71","48.82","55.41","39.36","31.58","41.67","50.00","66.67","33.63","48.77","50.79","53.79"
"anno47","1,649","19.57","6.03","2.92","45.45","57.14","1.21","7.83","9.18","8.99","5.83","11.29","75.51","93.33","0.00","0.00","25.00","100.00","25.08","35.97","60.53","47.45"
"AtaKakan","1,212","22.85","16.27","8.21","44.44","28.57","0.96","15.15","14.19","23.39","36.46","34.55","51.06","47.62","50.00","66.67","28.57","66.67","26.69","35.59","49.21","43.23"
"Bamleodo","1,430","32.77","9.59","3.62","30.77","28.57","0.74","8.62","11.98","18.38","19.81","17.39","44.62","33.33","37.50","0.00","50.00","0.00","33.81","39.09","52.48","30.67"
"Bananarschle","1,382","26.81","18.32","6.09","50.00","63.64","0.47","29.92","26.46","23.46","49.02","24.44","66.94","55.56","83.33","50.00","75.00","40.00","27.33","42.12","55.29","48.30"
"Bandyboll","1,651","38.51","1.97","0.75","100.00","100.00","0.00","1.52","3.67","2.60","0.88","0.00","62.50","75.00","-","0.00","0.00","-","30.54","37.05","47.72","36.19"
"BearGlove","2,588","18.10","15.61","5.83","38.10","44.00","2.72","9.68","22.53","20.30","37.97","34.62","51.08","67.39","50.00","100.00","100.00","71.43","26.06","39.20","59.46","41.91"
"BIdSwtTrs","2,154","28.21","20.94","7.20","40.23","43.90","2.62","25.91","30.18","38.37","45.45","35.16","41.40","63.83","64.00","100.00","14.29","18.18","31.24","44.20","52.83","47.67"
"BILLLIVEY","4,041","29.30","22.08","7.73","37.76","30.56","2.96","26.67","27.27","32.84","41.16","34.43","60.85","62.86","68.97","20.00","35.00","21.43","28.22","43.56","52.63","49.75"
